Tissue,a-ketoglutarate,alanine,arginine,asparagine,aspartate,citrate,fumarate,glutamate,glutamine,glycine,histidine,isoleucine,lactate,leucine,lysine,malate,methionine,phenylalanine,proline,pyruvate,serine,succinate,threonine,tryptophan,tyrosine,valine
Brain,33.65,6712.74,75.49,135.32,2158.46,174.34,42.63,7693.68,4786.11,675.56,74.28,34.22,7932.25,60.39,147.55,227.61,22.31,49.77,72.63,63.57,766.61,247.72,179.30,15.97,33.27,90.70
Brain,117.24,13151.82,65.26,146.90,2636.09,225.61,70.97,9333.69,4356.24,1094.24,284.18,34.91,8556.64,51.41,175.15,314.55,31.77,46.82,66.35,72.30,770.26,514.70,184.26,16.14,45.57,94.51
Brain,209.02,13398.72,69.42,153.82,2662.10,281.94,96.27,10003.84,4490.60,815.91,327.83,31.47,6614.22,47.97,189.31,428.88,40.33,50.04,75.82,500.16,811.94,332.77,213.93,14.88,77.34,98.56
Brain,143.11,13731.22,98.09,148.82,2874.34,224.48,60.67,9194.92,4619.19,1168.87,365.60,36.33,10036.52,58.09,205.45,262.86,31.71,52.50,74.83,82.20,774.93,534.52,216.19,19.56,63.56,108.49
Liver,160.23,233.60,14.38,98.63,237.13,583.27,67.91,2004.56,3351.84,1405.02,375.74,69.99,396.23,118.47,252.06,259.93,27.13,45.59,49.36,34.73,198.40,170.48,103.18,14.74,21.85,167.18
Liver,288.13,611.94,24.09,137.33,411.66,503.71,76.40,2460.29,3243.99,1625.94,593.80,96.52,998.48,142.57,281.52,355.15,46.08,57.54,62.33,63.17,237.13,218.50,144.11,20.21,39.57,235.67
Liver,247.05,922.32,46.91,159.02,427.74,755.99,90.90,2575.79,3171.57,1718.48,641.22,128.18,943.55,229.80,307.30,446.59,76.82,108.43,64.54,90.04,340.69,299.14,179.43,43.74,135.87,264.61
Liver,251.83,663.51,18.60,146.73,344.51,402.26,61.16,2322.55,3405.64,1907.76,538.63,95.39,927.02,149.02,239.07,293.07,46.00,57.45,64.02,49.65,346.32,290.19,167.59,22.72,47.70,240.60
Kidney,75.81,855.73,58.78,81.83,1033.15,504.10,154.75,2613.39,916.27,1512.40,82.40,67.71,1695.44,117.83,103.98,596.40,25.94,47.77,45.87,107.48,143.01,147.08,111.61,21.19,40.87,141.50
Kidney,136.84,1954.44,73.66,103.99,1324.54,708.26,123.62,3771.90,1159.15,2271.35,235.61,71.37,1902.64,110.64,139.12,586.51,37.78,47.02,50.11,157.87,207.25,325.06,145.08,22.39,58.40,151.20
