sample	samples	_primary_site	SLC25A11	SLC25A12	SLC25A13	SLC16A1	SLC16A4	SLC16A7	MPC1	MPC2	GPD1	GPD1L	GPD2	LDHA	LDHB	LDHC	LDHD
K-562-SM-3P61Y	K-562-SM-3P61Y	Bone Marrow	10.47	10.03	11.48	13.25	5.4	0	10.65	11.89	4.434	9.9	10.78	16.84	14.73	0.8674	5.748
K-562-SM-4WWAK	K-562-SM-4WWAK	Bone Marrow	10.44	9.788	11.43	13.14	5.119	0	10.85	12.13	4.473	9.806	10.64	16.8	14.72	0.974	5.593
K-562-SM-4IHK7	K-562-SM-4IHK7	Bone Marrow	10.34	9.864	11.23	13.03	5.064	1.11	10.42	11.78	3.781	9.489	10.53	16.42	14.37	1.73	5.763
K-562-SM-4VBPT	K-562-SM-4VBPT	Bone Marrow	10.3	9.966	11.54	13.34	5.413	1.379	10.86	12.12	4.644	9.927	10.91	16.87	14.77	0.8481	5.3
K-562-SM-5J2LX	K-562-SM-5J2LX	Bone Marrow	10.3	9.965	11.49	13.23	5.011	1.794	10.69	12	4.255	9.943	10.74	16.76	14.69	0.8658	5.831
K-562-SM-5GZWN	K-562-SM-5GZWN	Bone Marrow	10.29	9.944	11.49	13.27	5.207	1.461	10.73	11.97	4.342	9.879	10.87	16.81	14.7	1.86	5.458
K-562-SM-5IJDX	K-562-SM-5IJDX	Bone Marrow	10.29	9.918	11.5	13.27	5.496	1.414	10.75	12.02	3.754	9.784	10.79	16.78	14.72	0.8738	5.028
K-562-SM-5K7TT	K-562-SM-5K7TT	Bone Marrow	10.29	9.834	11.46	13.22	5.181	1.341	10.81	12.06	4.718	9.805	10.73	16.64	14.56	0	5.753
K-562-SM-4OOR8	K-562-SM-4OOR8	Bone Marrow	10.26	9.914	11.42	13.23	5.732	0	10.75	11.91	4.346	9.946	10.86	16.78	14.67	2.126	5.613
K-562-SM-2YUNN	K-562-SM-2YUNN	Bone Marrow	10.26	9.699	11.36	13.09	5.491	1.033	10.49	11.56	4.971	9.867	10.75	16.57	14.43	0	5.737
K-562-SM-5Q59U	K-562-SM-5Q59U	Bone Marrow	10.25	10.05	11.47	13.31	5.936	0	10.66	11.99	4.347	9.934	10.9	16.71	14.67	1.656	5.231
K-562-SM-5MR32	K-562-SM-5MR32	Bone Marrow	10.25	9.795	11.33	13.13	5.272	0.9566	10.54	11.67	3.825	9.75	10.75	16.61	14.47	0	5.406
K-562-SM-5HL7A	K-562-SM-5HL7A	Bone Marrow	10.24	9.859	11.38	13.12	4.608	1.56	10.73	11.97	3.772	9.595	10.62	16.78	14.75	0	5.635
K-562-SM-5LZU1	K-562-SM-5LZU1	Bone Marrow	10.24	9.853	11.35	13.1	4.642	0	10.7	12.01	4.168	9.651	10.52	16.76	14.72	0.999	5.67
K-562-SM-5P9HH	K-562-SM-5P9HH	Bone Marrow	10.23	9.911	11.41	13.2	5.852	0	10.39	11.65	4.372	9.813	10.91	16.55	14.4	1.365	5.521
K-562-SM-3NMAP	K-562-SM-3NMAP	Bone Marrow	10.23	9.891	11.55	13.34	5.232	2.017	10.76	12.13	4.38	10.03	10.89	16.76	14.64	0	5.371
K-562-SM-5KM2I	K-562-SM-5KM2I	Bone Marrow	10.23	9.726	11.33	13.15	4.994	0.9971	10.71	11.93	4.165	9.759	10.64	16.62	14.53	0	5.082
K-562-SM-5CVL5	K-562-SM-5CVL5	Bone Marrow	10.22	10.02	11.55	13.43	5.944	2.223	10.77	12.03	4.525	10.04	11.07	16.92	14.82	1.503	5.089
K-562-SM-2I3E7	K-562-SM-2I3E7	Bone Marrow	10.21	9.771	11.45	13.16	5.728	1.773	10.49	11.54	4.43	9.685	10.99	16.51	14.33	0	5.553
K-562-SM-57WAW	K-562-SM-57WAW	Bone Marrow	10.2	10.12	11.63	13.52	6.022	1.637	10.8	12.04	3.772	10.06	11.09	16.93	14.81	0	5.336
K-562-SM-3MJHH	K-562-SM-3MJHH	Bone Marrow	10.2	10.04	11.62	13.41	5.561	2.259	10.86	12.03	4.142	10.02	10.99	16.78	14.67	0	5.755
K-562-SM-5Q5CL	K-562-SM-5Q5CL	Bone Marrow	10.2	9.973	11.49	13.37	5.487	1.539	10.7	11.93	3.744	10.07	11.08	16.77	14.7	0	5.487
K-562-SM-47JYY	K-562-SM-47JYY	Bone Marrow	10.2	9.943	11.33	13.15	5.171	1.044	10.48	11.9	4.542	9.71	10.74	16.6	14.58	2.065	5.37
K-562-SM-4WAWH	K-562-SM-4WAWH	Bone Marrow	10.2	9.826	11.35	13.09	5.475	1.596	10.63	11.92	4.185	9.742	10.68	16.65	14.56	0	5.716
K-562-SM-5DUV6	K-562-SM-5DUV6	Bone Marrow	10.2	9.755	11.3	13.12	5.139	1.099	10.55	11.76	3.878	9.64	10.67	16.62	14.54	0	5.508
K-562-SM-5NQ9D	K-562-SM-5NQ9D	Bone Marrow	10.19	9.8	11.44	13.18	5.033	1.548	10.61	11.8	4.116	9.723	10.77	16.72	14.63	0	5.437
K-562-SM-48FEU	K-562-SM-48FEU	Bone Marrow	10.19	9.595	11.13	12.98	5.363	2.517	10.55	11.93	4.55	9.527	10.59	16.39	14.37	1.125	5.82
K-562-SM-5P9EQ	K-562-SM-5P9EQ	Bone Marrow	10.18	9.989	11.56	13.37	5.71	0.7523	10.71	11.99	3.942	10.02	10.92	16.78	14.62	0.7523	5.371
K-562-SM-4AD4F	K-562-SM-4AD4F	Bone Marrow	10.18	9.962	11.43	13.23	5.696	2.789	10.55	11.87	4.477	9.833	10.86	16.67	14.53	0	5.76
K-562-SM-5NQ6M	K-562-SM-5NQ6M	Bone Marrow	10.18	9.784	11.38	13.14	5.381	0	10.66	11.86	4.246	9.719	10.71	16.69	14.6	0.9606	5.779
K-562-SM-5J1MB	K-562-SM-5J1MB	Bone Marrow	10.17	9.888	11.44	13.2	4.738	0	10.75	12.02	3.992	9.871	10.75	16.75	14.7	0.8708	5.128
K-562-SM-4JBIQ	K-562-SM-4JBIQ	Bone Marrow	10.17	9.809	11.39	13.13	5.597	1.901	10.74	11.97	4.195	9.766	10.64	16.69	14.65	0.9348	5.676
K-562-SM-5LU2Y	K-562-SM-5LU2Y	Bone Marrow	10.16	9.936	11.57	13.36	5.65	2.281	10.63	11.95	4.122	9.963	10.96	16.73	14.62	0	5.731
K-562-SM-5PNWU	K-562-SM-5PNWU	Bone Marrow	10.15	9.837	11.33	13.16	5.302	0	10.56	11.78	4.128	9.733	10.75	16.67	14.53	1.502	5.657
K-562-SM-4KKZ9	K-562-SM-4KKZ9	Bone Marrow	10.14	9.872	11.39	13.11	5.337	0	10.46	11.78	4.934	9.93	10.66	16.7	14.6	0	5.337
K-562-SM-3NB3I	K-562-SM-3NB3I	Bone Marrow	10.14	9.84	11.58	13.29	5.056	2.808	10.8	12.19	4.644	9.988	10.76	16.8	14.69	1.322	5.701
K-562-SM-3NMDG	K-562-SM-3NMDG	Bone Marrow	10.13	9.932	11.49	13.3	5.408	0.8712	10.63	12.03	4.647	9.881	10.81	16.74	14.61	2.11	5.568
K-562-SM-5O9BA	K-562-SM-5O9BA	Bone Marrow	10.13	9.886	11.43	13.23	5.582	0	10.53	11.74	3.835	9.831	10.86	16.66	14.52	0.9146	4.917
K-562-SM-3LK7S	K-562-SM-3LK7S	Bone Marrow	10.13	9.785	11.4	13.16	5.208	0	10.71	12	4.578	9.703	10.76	16.57	14.5	0	5.923
K-562-SM-5LZWR	K-562-SM-5LZWR	Bone Marrow	10.13	9.714	11.34	13.11	4.8	1.024	10.61	11.86	3.628	9.686	10.6	16.65	14.52	0	5.505
K-562-SM-4DM4W	K-562-SM-4DM4W	Bone Marrow	10.13	9.606	11.21	13	5.772	1.248	10.6	11.78	2.978	9.632	10.59	16.52	14.4	0	5.492
K-562-SM-59HJ4	K-562-SM-59HJ4	Bone Marrow	10.12	9.971	11.49	13.33	5.94	2.123	10.48	11.85	4.476	9.923	10.92	16.73	14.66	2.123	5.327
K-562-SM-4YCCQ	K-562-SM-4YCCQ	Bone Marrow	10.12	9.946	11.42	13.26	5.641	2.091	10.56	11.83	3.811	9.89	10.92	16.74	14.63	0	5.439
K-562-SM-5GZZE	K-562-SM-5GZZE	Bone Marrow	10.12	9.611	11.22	13.03	5.301	1.705	10.58	11.82	3.972	9.577	10.47	16.58	14.51	0	5.301
K-562-SM-4QAR5	K-562-SM-4QAR5	Bone Marrow	10.11	9.791	11.29	13.13	5.065	1.084	10.59	11.92	4.403	9.695	10.66	16.65	14.61	0	5.586
K-562-SM-5N9B7	K-562-SM-5N9B7	Bone Marrow	10.11	9.741	11.39	13.24	5.527	0.9012	10.51	11.74	3.512	9.825	10.85	16.56	14.44	0	5.907
K-562-SM-5N9DX	K-562-SM-5N9DX	Bone Marrow	10.1	9.931	11.49	13.29	6.076	1.401	10.65	11.88	4.188	10	10.91	16.69	14.61	1.401	5.448
K-562-SM-5IJB7	K-562-SM-5IJB7	Bone Marrow	10.09	9.94	11.44	13.29	4.862	1.53	10.72	12.04	4.244	9.823	10.78	16.8	14.72	0	5.168
K-562-SM-5PNU4	K-562-SM-5PNU4	Bone Marrow	10.09	9.831	11.45	13.23	5.072	0	10.53	11.74	4.233	9.822	10.76	16.64	14.49	0.9921	4.843
K-562-SM-4AT3W	K-562-SM-4AT3W	Bone Marrow	10.09	9.682	11.26	12.99	4.984	1.259	10.53	11.75	4.256	9.632	10.52	16.47	14.36	0	5.105
K-562-SM-4BRWK	K-562-SM-4BRWK	Bone Marrow	10.09	9.663	11.19	13	5.346	0	10.45	11.69	4.544	9.621	10.58	16.47	14.38	0	5.302
K-562-SM-5QGOR	K-562-SM-5QGOR	Bone Marrow	10.08	9.828	11.35	13.14	5.588	0	10.43	11.75	3.208	9.765	10.74	16.58	14.48	0	5.552
