Compound,C_Label,Control_100ppm_1,Control_100ppm_2,Control_100ppm_3,Control_500ppm_1,Control_500ppm_2,Control_500ppm_3,Insulin_100ppm_1,Insulin_100ppm_2,Insulin_100ppm_3,Insulin_500ppm_1,Insulin_500ppm_2,Insulin_500ppm_3
phenylalanine (1),0,1,1,1,0.994558006,1,1,0.993558858,1,1,1,0.994757322,1
phenylalanine (1),1,0,0,0,0.005441994,0,0,0.006441142,0,0,0,0.005242678,0
phenylalanine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),4,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),5,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),6,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),7,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),8,0,0,0,0,0,0,0,0,0,0,0,0
phenylalanine (1),9,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),0,0.999961805,1,1,1,1,1,1,1,1,0.997357956,1,1
tyrosine (1),1,3.82E-05,0,0,0,0,0,0,0,0,0.002642044,0,0
tyrosine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),4,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),5,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),6,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),7,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),8,0,0,0,0,0,0,0,0,0,0,0,0
tyrosine (1),9,0,0,0,0,0,0,0,0,0,0,0,0
tryptophan (1),0,1,1,1,1,1,1,1,1,1,1,1,1
tryptophan (1),1,0,0,0,0,0,0,0,0,0,0,0,0
tryptophan (1),2,0,0,0,0,0,0,0,0,0,0,0,0
tryptophan (1),3,0,0,0,0,0,0,0,0,0,0,0,0
