Compound,Blank_3,Control_100ppm_1,Control_100ppm_2,Control_100ppm_3,Control_500ppm_1,Control_500ppm_2,Control_500ppm_3,Insulin_100ppm_1,Insulin_100ppm_2,Insulin_100ppm_3,Insulin_500ppm_1,Insulin_500ppm_2,Insulin_500ppm_3
phenylalanine (1),8779.179723,1070912.392,878948.566,872570.311,1395133.548,1105634.056,1698135.101,1144310.194,942345.043,1088272.629,1325276.47,1229308.509,1273401.262
tyrosine (1),50375.71758,501262.8346,403529.6648,447106.0565,621223.4384,541495.2535,809617.3645,522131.103,432949.8401,446282.3501,598070.1049,555418.3398,584019.6428
tryptophan (1),0,495754.1395,362699.1576,392724.3631,516734.617,460790.1813,754933.1687,612457.7498,536580.175,596864.096,611828.0535,642926.5437,635642.4115
hexose-phosphate (1),7541.689717,128033.2337,136972.4467,119927.2169,103409.8735,72396.53607,151426.4269,129637.8992,115513.3198,118623.707,136268.5475,126582.5863,128177.8456
Glucose (1),19889.98493,7369126.794,6843232.199,7230519.028,11643624.92,9599482.806,19995829.41,7707981.472,4786462.407,7049131.587,10405965.3,9836618.784,10435203.29
UDP-D-glucose (1),0,426045.22,329752.4994,364299.6907,307805.5778,381430.1666,517908.4837,272813.3399,242030.1769,255054.7833,294442.8287,259362.7424,303033.1809
pyruvate (1),895431.1785,8863905.62,6455369.474,6393679.976,12313596.04,10726454.78,16941111.94,7747915.26,3781723.978,6155122.041,10373467.28,9754697.104,10851770.48
lactate (2),649191.9627,20952108.62,10159873.29,12521756.48,23146443.9,18531046.26,30899699.64,25868967.04,13638445.3,16289122.91,26345865.85,22138800.64,23797311.62
malate (1),398057.0724,6430117.045,5676117.576,6259596.082,7613811.007,6844274.233,8676185.834,8305471.509,7762982.818,7752034.201,7136484.172,6597355.261,6113620.399
fumarate (1),23847.75696,2775338.824,2353400.616,2353601.563,2627457.648,2408183.328,3513491.628,2649844.1,2579906.091,2544598.405,2861656.668,2960976.971,3035698.19
a-ketoglutarate (1),37514.19245,2596484.152,2158358.345,2194668.215,3702873.375,3685048.267,5237704.05,1378616.101,1210116.036,1331714.591,2091607.464,2065290.087,2105505.399
glutamate (1),8075.93731,34215506.2,31835241.4,30256072.14,33494536.07,31931139.39,46151830.71,29552135.86,32192037.4,31392345.16,34165172.41,32966152.06,32171264.89
Creatine phosphate  (1),0,1463901.575,1616599.394,1532601.42,1770706.93,1527249.723,2036006.092,1018088.928,806083.7873,848609.6025,836094.6187,864568.7993,775894.0073
creatine (1),0,2788160.928,2012465.061,2252607.693,2097089.339,2304441,3001357.92,3188789.339,3484704.741,3436681.698,3556712.756,3559192.635,3799513.005
alanine (1),5190.579615,4885430.687,3599299.801,3929494.93,4464402.702,4149607.663,5610819.559,5234007.554,5458390.281,5504618.036,5661866.574,5810696.549,5946807.607
C16:0 (1),214192714.2,415280388.6,437326644.4,546151995.7,1662227505,1576181321,2264099993,516484134.1,478001515.7,493850499.5,1579061660,1835448928,1862975531
C18:0 (1),99014870.23,62959039.66,53834038.89,112482779.9,97898002.65,148789257.3,102289411.8,66476522.36,73828084.95,45121795.9,134188359.2,88515411.96,80832956.06
C18:2  (1),580416.7919,6667662.18,5958794.3,7016039.041,8523490.498,7699849.38,11995006.3,7122904.878,4915346.879,5410544.451,9179118.832,7179107.924,7916513.432
C18:1 (1),5884274.351,11530848.59,9888258.924,14926458.18,17966019.11,24224901.06,20731887.42,16635736.14,9146637.982,8492331.049,26341736.43,12934613.53,13603377.44
C16:1 (1),1571947.432,4706913.772,2292040.48,3480992.569,7210459.358,4681766.033,14564276.52,12202410,2419518.817,2486119.622,10658858.58,3012297.19,3451447.219
AMP (1),66975.7253,84400.78787,73072.08154,102981.5753,117955.9597,100697.8872,109524.8657,136813.1374,159599.6162,166210.7949,144735.9264,157589.4116,184823.1705
serine (1),0,537540.9058,298700.0014,379791.6251,472369.5749,403398.08,597057.8879,480171.0175,396427.3165,454374.9642,479546.4215,492950.9088,449509.7188
L-Homoserine (1),47514.3549,1134861.48,863902.3261,795912.6817,2040585.433,1380263.61,4405828.038,1087153.638,644496.7666,935272.6126,1813712.054,1711947.813,1847579.211
Palmitoyl carnitine C16 (1),1848.618332,16413291.34,8227110.82,14363355.94,11263557.26,11514773.78,16559415.12,41044735.37,36798961.06,39093298.74,33507587.12,34767768.86,34274263.35
