,minimum,maximum,range,mid
ACACt2m,-0.06656000000000062,-0.06656000000000029,3.3306690738754696e-16,-0.06656000000000045
ACONTm,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
ADK3,0.10752000000000017,0.5802666666666668,0.47274666666666665,0.3438933333333335
AKGDm,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
ATPtm,7.133013333333334,7.605760000000001,0.47274666666666665,7.369386666666667
BDHm,0.06656000000000029,0.06656000000000062,3.3306690738754696e-16,0.06656000000000045
BHBt,0.06656000000000029,0.06656000000000062,3.3306690738754696e-16,0.06656000000000045
BHBtm,0.06656000000000029,0.06656000000000062,3.3306690738754696e-16,0.06656000000000045
C160CPT1,0.0409599999999999,0.04095999999999994,4.163336342344337e-17,0.04095999999999992
C160CPT2,0.0409599999999999,0.04095999999999994,4.163336342344337e-17,0.04095999999999992
CO2tm,-1.2800000000000002,-1.2800000000000002,0.0,-1.2800000000000002
CSm,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
CSNATm,0.13312000000000057,0.13312000000000124,6.661338147750939e-16,0.1331200000000009
CSNATr,0.13312000000000057,0.13312000000000124,6.661338147750939e-16,0.1331200000000009
EX_bhb_e,-0.06656000000000062,-0.06656000000000029,3.3306690738754696e-16,-0.06656000000000045
EX_hdca_e,-0.04095999999999994,-0.0409599999999999,4.163336342344337e-17,-0.04095999999999992
FAOXC160,0.0409599999999999,0.04095999999999994,4.163336342344337e-17,0.04095999999999992
FUMm,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
GLCt1r,0.008533333333333335,0.008533333333333335,0.0,0.008533333333333335
H2Otm,-8.885760000000001,-8.885760000000001,0.0,-8.885760000000001
ICDHxm,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
LDH_Lm,0.1194666666666667,0.1194666666666667,0.0,0.1194666666666667
L_LACtm,0.1194666666666667,0.1194666666666667,0.0,0.1194666666666667
MDHm,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
NDPK1m,-0.4727466666666665,0.0,0.4727466666666665,-0.23637333333333324
O2tm,1.6,1.6,0.0,1.6
PDHm,0.1194666666666667,0.1194666666666667,0.0,0.1194666666666667
SUCOAS1m,-0.5802666666666668,-0.10752000000000053,0.4727466666666663,-0.34389333333333366
SUCOASm,-0.4727466666666663,0.0,0.4727466666666663,-0.23637333333333316
r0509,0.5802666666666668,0.5802666666666668,0.0,0.5802666666666668
r0801,-0.5802666666666668,-0.10752000000000035,0.4727466666666665,-0.3438933333333336
r2433,0.13312000000000057,0.13312000000000124,6.661338147750939e-16,0.1331200000000009
r2435,0.0409599999999999,0.04095999999999994,4.163336342344337e-17,0.04095999999999992
PALFATPtc,0.0409599999999999,0.04095999999999994,4.163336342344337e-17,0.04095999999999992
FADH2ETC,0.28671999999999936,0.28671999999999975,3.885780586188048e-16,0.28671999999999953
The,0.04095999999999843,0.04096000000000033,1.9012569296705806e-15,0.04095999999999938
ACACT1r,-0.06656000000000062,-0.06656000000000029,3.3306690738754696e-16,-0.06656000000000045
ADK1,-0.4727466666666666,0.0,0.4727466666666666,-0.2363733333333333
CO2t,-1.2800000000000002,-1.2800000000000002,0.0,-1.2800000000000002
ENO,0.01706666666666667,0.01706666666666667,0.0,0.01706666666666667
EX_co2_e,1.2800000000000002,1.2800000000000002,0.0,1.2800000000000002
EX_h_e,-0.20992000000000097,-0.20991999999999889,2.0816681711721685e-15,-0.20991999999999994
EX_h2o_e,1.2799999999999994,1.2800000000000002,8.881784197001252e-16,1.2799999999999998
EX_lac_L_e,-0.10240000000000002,-0.10240000000000002,0.0,-0.10240000000000002
EX_o2_e,-1.6,-1.6,0.0,-1.6
FBA,0.008533333333333335,0.008533333333333335,0.0,0.008533333333333335
GAPD,0.01706666666666667,0.01706666666666667,0.0,0.01706666666666667
H2Ot,-1.2800000000000002,-1.2799999999999994,8.881784197001252e-16,-1.2799999999999998
HEX1,0.008533333333333335,0.008533333333333335,0.0,0.008533333333333335
L_LACt2r,0.10240000000000002,0.10240000000000002,0.0,0.10240000000000002
NDPK1,-0.47274666666666665,0.0,0.47274666666666665,-0.23637333333333332
O2t,1.6,1.6,0.0,1.6
PGI,0.008533333333333335,0.008533333333333335,0.0,0.008533333333333335
PGK,-0.01706666666666667,-0.01706666666666667,0.0,-0.01706666666666667
PGM,-0.01706666666666667,-0.01706666666666667,0.0,-0.01706666666666667
PPA,0.10752000000000023,0.10752000000000053,3.0531133177191805e-16,0.10752000000000038
TPI,0.008533333333333335,0.008533333333333335,0.0,0.008533333333333335
LDH_L,-0.01706666666666667,-0.01706666666666667,0.0,-0.01706666666666667
PFK,0.008533333333333335,0.008533333333333335,0.0,0.008533333333333335
PYK,0.01706666666666667,0.01706666666666667,0.0,0.01706666666666667
AACOAT,0.06656000000000029,0.06656000000000062,3.3306690738754696e-16,0.06656000000000045
EX_glc_D_e,-0.008533333333333335,-0.008533333333333335,0.0,-0.008533333333333335
ATPS4mi,7.133013333333334,7.133013333333334,0.0,7.133013333333334
CYOR_u10mi,3.2,3.2,0.0,3.2
NADH2_u10mi,2.3330133333333336,2.333013333333334,4.440892098500626e-16,2.3330133333333336
CYOOm2i,1.6,1.6,0.0,1.6
cyt_atp2adp,7.5153066666666675,7.5153066666666675,0.0,7.5153066666666675
PiC,7.713280000000001,7.713280000000003,1.7763568394002505e-15,7.713280000000002
