,fasted,fed
ACACT1rm,-0.006636000000000002,-0.002880000000000001
ACONTm,0.4419669565217392,0.4680000000000001
AKGDm,0.4419669565217392,0.4680000000000001
AKGMALtm,0.08006000000000002,12.31508
ASPGLUm,0.08006000000000002,12.31508
ASPTAm,-0.08006000000000002,-12.31508
ATPtm,5.53853591304348,3.517890000000001
BDHm,0.006636000000000002,0.002880000000000001
BHBt,0.006636000000000002,0.002880000000000001
BHBtm,0.006636000000000002,0.002880000000000001
C160CPT1,0.03594686956521739,0.03077999999999996
C160CPT2,0.03594686956521739,0.03077999999999996
CO2tm,-1.0250539130434784,-1.1520000000000004
CSm,0.44196695652173923,0.46800000000000014
EX_bhb_e,-0.006636000000000002,-0.002880000000000001
EX_hdca_e,-0.03594686956521739,-0.03077999999999996
FACOAL160i,0.03594686956521739,0.03077999999999996
FAOXC160,0.03594686956521739,0.03077999999999996
FATP1t,-0.03594686956521739,-0.03077999999999996
FUMm,0.44196695652173923,0.4680000000000001
GLCt1r,0.02,0.05520000000000002
H2Otm,-6.52764295652174,-4.639110000000001
ICDHxm,0.4419669565217391,0.46800000000000014
LDH_Lm,-0.0055,-12.20808
L_LACDcm,0.0015,1.0266700000000004
L_LACtm,-0.0055,-12.20808
MDHm,0.5220269565217391,12.78308
NDPK1m,-0.43533095652173903,-0.46512
O2tm,1.2800000000000002,1.3689
OCOAT1m,0.006636000000000002,0.002880000000000001
PDHm,0.14112000000000013,0.21600000000000008
PYRt2m,0.14662000000000003,12.424079999999998
SUCOAS1m,-0.43533095652173903,-0.4651200000000001
r0205,0.07006000000000001,1.02667
r0509,0.4419669565217391,0.46800000000000014
r2435,0.03594686956521739,0.030779999999999995
FADH2ETC,0.2516280869565216,0.21545999999999996
ADK1,0.03594686956521739,0.030779999999999995
ASPTA,0.08006000000000002,12.31508
CO2t,-1.0250539130434786,-1.1520000000000004
ENO,0.04,0.11040000000000004
EX_co2_e,1.0250539130434784,1.1520000000000004
EX_h_e,-0.14370286956521744,-0.13925999999999997
EX_h2o_e,1.0250539130434784,1.1520000000000001
EX_lac_L_e,-0.10112000000000003,-0.10560000000000003
EX_o2_e,-1.2800000000000002,-1.3689
FBA,0.02,0.05520000000000002
G3PD1,-0.07006000000000001,-1.0266700000000002
GAPD,0.04,0.11040000000000004
H2Ot,-1.0250539130434784,-1.1520000000000006
HEX1,0.02,0.05520000000000002
L_LACt2r,0.10112000000000003,0.10560000000000003
O2t,1.2800000000000002,1.3689
PGI,0.02,0.05520000000000002
PGK,-0.04,-0.11040000000000004
PGM,-0.04,-0.11040000000000004
PPA,0.03594686956521739,0.03077999999999996
TPI,0.02,0.05520000000000002
LDH_L,0.10512000000000002,12.26038
MDH,-0.08006000000000002,-12.31508
PFK,0.02,0.05520000000000002
PYK,0.04,0.11040000000000004
EX_glc_D_e,-0.02,-0.05520000000000002
ATPS4mi,5.103204956521741,3.052770000000001
CYOR_u10mi,2.5585000000000004,1.7111300000000003
NADH2_u10mi,1.7953449565217396,1.0266700000000002
CYOOm2i,1.2800000000000002,1.3689000000000004
cyt_atp2adp,5.506642173913045,3.566730000000001
PiC,5.53853591304348,3.517890000000001
NaH_antiport,2.05,12.208080000000004
Na_channel,2.05,12.208080000000004
