,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,"2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","2.5 mU Insulin + Intralipid","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid","1.25 mU Insulin + Intralipid"
0,0.7,0.9,0.6,1.1,0.5,0.6,0.6,0.7,0.5,,0.60,0.60,0.70,0.50,0.70,0.90,0.60,1.10,0.50,,0.6,,0.8,0.5,0.6,,,,,,,0.4,0.7,,1.1,,,,,,0.5,0.9,0.6,,,,,,,
10,0.4,0.6,0.8,1.2,0.6,,,,,,0.60,0.80,0.70,0.70,,,,,,,0.7,0.9,,0.8,0.8,,,,,,1.0,,0.7,,0.7,,,,,,,,0.6,,,,,,,
20,0.5,0.6,0.7,1.4,0.5,,,,,,0.80,0.60,0.60,0.70,,,,,,,0.6,0.8,,0.7,0.9,,,,,,0.7,1.0,0.5,,1.0,,,,,,0.7,0.7,0.5,,,,,,,
30,0.5,0.6,0.4,1.0,0.5,,,,,,0.60,0.60,0.40,0.60,,,,,,,0.5,,0.7,0.6,0.8,,,,,,0.7,0.8,0.5,,1.2,,,,,,0.5,0.7,0.6,,,,,,,
40,0.6,0.5,0.6,0.9,0.5,,,,,,0.50,0.50,0.50,0.50,,,,,,,0.5,,0.7,0.8,0.8,,,,,,0.8,0.7,0.5,,0.8,,,,,,0.5,0.7,0.5,,,,,,,
50,0.4,0.5,0.6,0.8,0.5,,,,,,0.60,0.60,0.60,0.60,,,,,,,0.6,,0.6,0.8,0.5,,,,,,1.0,0.6,0.5,,0.8,,,,,,0.5,0.7,0.5,,,,,,,
60,0.5,0.6,0.5,0.9,0.6,,,,,,0.60,0.60,0.60,0.70,,,,,,,0.7,,0.6,0.5,0.6,,,,,,0.9,0.6,0.5,,0.8,,,,,,0.6,0.5,0.5,,,,,,,
70,0.6,0.5,0.8,0.8,0.7,,,,,,0.70,0.60,0.60,0.60,,,,,,,0.5,1.0,0.6,0.5,0.6,,,,,,0.8,0.7,0.8,,0.7,,,,,,0.6,0.7,0.7,,,,,,,
80,0.5,1.0,0.8,0.7,0.6,,,,,,0.60,0.70,0.60,0.60,,,,,,,,0.6,0.6,0.4,0.6,,,,,,0.7,0.6,0.5,,0.7,,,,,,0.6,0.8,0.6,,,,,,,
90,0.5,0.8,0.8,0.8,0.6,,,,,,0.70,0.70,0.60,0.60,,,,,,,0.6,0.5,0.6,0.5,0.6,,,,,,0.8,0.6,0.5,,0.7,,,,,,0.8,0.7,0.6,,,,,,,
100,0.5,0.6,0.7,0.8,0.5,,,,,,0.80,0.60,0.60,0.80,,,,,,,,0.6,0.6,0.6,0.8,,,,,,,0.6,0.6,,0.9,,,,,,0.6,0.7,0.7,,,,,,,
110,0.5,0.5,0.5,0.7,0.6,,,,,,0.60,0.50,0.60,0.80,,,,,,,0.9,0.6,,0.6,1.0,,,,,,,0.6,0.5,,0.8,,,,,,0.6,0.7,0.6,,,,,,,
120,0.4,0.6,0.6,0.6,0.5,,,,,,0.70,0.50,0.50,0.80,,,,,,,0.7,0.5,0.5,0.6,0.8,,,,,,,0.3,0.6,,1.2,,,,,,0.6,0.6,0.4,,,,,,,
