,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,Saline,"2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","2.5 mU Insulin + Lactate","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate","1.25 mU Insulin + Lactate"
0,0.7,0.9,0.6,1.1,0.5,0.6,0.6,0.7,0.5,,0.60,0.60,0.70,0.50,0.70,0.90,0.60,1.10,0.50,,1.7,1.7,1.7,1.6,1.5,,,,,,,0.4,0.7,,1.1,,,,,,1.3,2.4,1.3,,,,,,,
10,0.4,0.6,0.8,1.2,0.6,,,,,,0.60,0.80,0.70,0.70,,,,,,,2.0,2.4,1.9,2.1,2.3,,,,,,1.0,,0.7,,0.7,,,,,,1.8,1.9,1.4,,,,,,,
20,0.5,0.6,0.7,1.4,0.5,,,,,,0.80,0.60,0.60,0.70,,,,,,,1.5,2.0,2.0,2.1,2.1,,,,,,0.7,1.0,0.5,,1.0,,,,,,1.4,1.8,1.9,,,,,,,
30,0.5,0.6,0.4,1.0,0.5,,,,,,0.60,0.60,0.40,0.60,,,,,,,1.6,2.1,2.1,1.9,2.1,,,,,,0.7,0.8,0.5,,1.2,,,,,,1.4,1.5,2.3,,,,,,,
40,0.6,0.5,0.6,0.9,0.5,,,,,,0.50,0.50,0.50,0.50,,,,,,,1.7,2.1,2.2,2.0,2.6,,,,,,0.8,0.7,0.5,,0.8,,,,,,1.3,1.8,1.9,,,,,,,
50,0.4,0.5,0.6,0.8,0.5,,,,,,0.60,0.60,0.60,0.60,,,,,,,1.5,2.0,2.3,2.5,2.2,,,,,,1.0,0.6,0.5,,0.8,,,,,,1.3,2.0,1.9,,,,,,,
60,0.5,0.6,0.5,0.9,0.6,,,,,,0.60,0.60,0.60,0.70,,,,,,,1.8,2.1,2.2,2.4,2.5,,,,,,0.9,0.6,0.5,,0.8,,,,,,1.2,2.3,2.0,,,,,,,
70,0.6,0.5,0.8,0.8,0.7,,,,,,0.70,0.60,0.60,0.60,,,,,,,2.0,2.0,2.4,2.1,2.1,,,,,,0.8,0.7,0.8,,0.7,,,,,,1.4,2.4,2.1,,,,,,,
80,0.5,1.0,0.8,0.7,0.6,,,,,,0.60,0.70,0.60,0.60,,,,,,,2.0,1.8,2.0,2.0,2.0,,,,,,0.7,0.6,0.5,,0.7,,,,,,1.6,2.6,2.4,,,,,,,
90,0.5,0.8,0.8,0.8,0.6,,,,,,0.70,0.70,0.60,0.60,,,,,,,1.8,1.8,1.8,2.1,2.1,,,,,,0.8,0.6,0.5,,0.7,,,,,,1.5,2.4,2.8,,,,,,,
100,0.5,0.6,0.7,0.8,0.5,,,,,,0.80,0.60,0.60,0.80,,,,,,,2.1,2.1,1.7,2.3,2.1,,,,,,,0.6,0.6,,0.9,,,,,,1.5,2.5,2.7,,,,,,,
110,0.5,0.5,0.5,0.7,0.6,,,,,,0.60,0.50,0.60,0.80,,,,,,,1.8,2.1,2.1,,1.8,,,,,,,0.6,0.5,,0.8,,,,,,1.6,2.7,3.0,,,,,,,
120,0.4,0.6,0.6,0.6,0.5,,,,,,0.70,0.50,0.50,0.80,,,,,,,1.7,2.4,2.1,,,,,,,,,0.3,0.6,,1.2,,,,,,1.6,2.6,2.7,,,,,,,
