gene_name,pathway,use,comment
AAAS,Carbohydrate metabolism,TRUE,
ADPGK,Carbohydrate metabolism,TRUE,
ALDOA,Carbohydrate metabolism,TRUE,
ALDOB,Carbohydrate metabolism,TRUE,
ALDOC,Carbohydrate metabolism,TRUE,
BPGM,Carbohydrate metabolism,TRUE,
ENO1,Carbohydrate metabolism,TRUE,
ENO2,Carbohydrate metabolism,TRUE,
ENO3,Carbohydrate metabolism,TRUE,
ENO4,Carbohydrate metabolism,TRUE,
FBP1,Carbohydrate metabolism,TRUE,
FBP2,Carbohydrate metabolism,TRUE,
G6PC1,Carbohydrate metabolism,TRUE,
G6PC2,Carbohydrate metabolism,TRUE,
G6PC3,Carbohydrate metabolism,TRUE,
GAPDH,Carbohydrate metabolism,TRUE,
GAPDHS,Carbohydrate metabolism,TRUE,
GNPDA1,Carbohydrate metabolism,FALSE,DW excluded
GNPDA2,Carbohydrate metabolism,FALSE,DW excluded
GPI,Carbohydrate metabolism,TRUE,
HK1,Carbohydrate metabolism,TRUE,
HK2,Carbohydrate metabolism,TRUE,
HK3,Carbohydrate metabolism,TRUE,
HKDC1,Carbohydrate metabolism,TRUE,
LDHA,Carbohydrate metabolism,TRUE,DW added
LDHB,Carbohydrate metabolism,TRUE,DW added
LDHC,Carbohydrate metabolism,TRUE,DW added
LDHD,Carbohydrate metabolism,TRUE,DW added
MPC1,Carbohydrate metabolism,TRUE,DW added
MPC2,Carbohydrate metabolism,TRUE,DW added
NDC1,Carbohydrate metabolism,FALSE,DW excluded
NUP107,Carbohydrate metabolism,FALSE,DW excluded
NUP133,Carbohydrate metabolism,FALSE,DW excluded
NUP153,Carbohydrate metabolism,FALSE,DW excluded
NUP155,Carbohydrate metabolism,FALSE,DW excluded
NUP160,Carbohydrate metabolism,FALSE,DW excluded
NUP188,Carbohydrate metabolism,FALSE,DW excluded
NUP205,Carbohydrate metabolism,FALSE,DW excluded
NUP210,Carbohydrate metabolism,FALSE,DW excluded
NUP214,Carbohydrate metabolism,FALSE,DW excluded
NUP35,Carbohydrate metabolism,FALSE,DW excluded
NUP37,Carbohydrate metabolism,FALSE,DW excluded
NUP42,Carbohydrate metabolism,FALSE,DW excluded
NUP43,Carbohydrate metabolism,FALSE,DW excluded
NUP50,Carbohydrate metabolism,FALSE,DW excluded
NUP54,Carbohydrate metabolism,FALSE,DW excluded
NUP58,Carbohydrate metabolism,FALSE,DW excluded
NUP62,Carbohydrate metabolism,FALSE,DW excluded
NUP85,Carbohydrate metabolism,FALSE,DW excluded
NUP88,Carbohydrate metabolism,FALSE,DW excluded
NUP93,Carbohydrate metabolism,FALSE,DW excluded
NUP98,Carbohydrate metabolism,FALSE,DW excluded
PC,Carbohydrate metabolism,TRUE,
PCK1,Carbohydrate metabolism,TRUE,
PCK2,Carbohydrate metabolism,TRUE,
PFKFB1,Carbohydrate metabolism,TRUE,
PFKFB2,Carbohydrate metabolism,TRUE,
PFKFB3,Carbohydrate metabolism,TRUE,
PFKFB4,Carbohydrate metabolism,TRUE,
PFKL,Carbohydrate metabolism,TRUE,
PFKM,Carbohydrate metabolism,TRUE,
PFKP,Carbohydrate metabolism,TRUE,
PGAM1,Carbohydrate metabolism,TRUE,
PGAM2,Carbohydrate metabolism,TRUE,
PGK1,Carbohydrate metabolism,TRUE,
PGK2,Carbohydrate metabolism,TRUE,
PGM2L1,Carbohydrate metabolism,TRUE,
PGP,Carbohydrate metabolism,TRUE,
PKLR,Carbohydrate metabolism,TRUE,
PKM,Carbohydrate metabolism,TRUE,
POM121,Carbohydrate metabolism,TRUE,
POM121C,Carbohydrate metabolism,TRUE,
PPP2CA,Carbohydrate metabolism,TRUE,
PPP2CB,Carbohydrate metabolism,TRUE,
PPP2R1A,Carbohydrate metabolism,TRUE,
PPP2R1B,Carbohydrate metabolism,TRUE,
PPP2R5D,Carbohydrate metabolism,TRUE,
PRKACA,Carbohydrate metabolism,TRUE,
PRKACB,Carbohydrate metabolism,TRUE,
PRKACG,Carbohydrate metabolism,TRUE,
RAE1,Carbohydrate metabolism,TRUE,
RANBP2,Carbohydrate metabolism,TRUE,
SEC13,Carbohydrate metabolism,TRUE,
SEH1L,Carbohydrate metabolism,TRUE,
SLC16A1,Carbohydrate metabolism,TRUE,DW added
SLC16A3,Carbohydrate metabolism,TRUE,DW added
SLC16A7,Carbohydrate metabolism,TRUE,DW added
SLC2A1,Carbohydrate metabolism,TRUE,DW added (GLUT1)
SLC2A4,Carbohydrate metabolism,TRUE,DW added (GLUT4)
SLC37A1,Carbohydrate metabolism,TRUE,
SLC37A2,Carbohydrate metabolism,TRUE,
SLC37A4,Carbohydrate metabolism,TRUE,
TPI1,Carbohydrate metabolism,TRUE,
TPR,Carbohydrate metabolism,TRUE,
ABCD1,Fatty acid oxidation,TRUE,
ACAA1,Fatty acid oxidation,TRUE,
ACAA2,Fatty acid oxidation,TRUE,
ACAD10,Fatty acid oxidation,TRUE,
ACAD11,Fatty acid oxidation,TRUE,
ACADL,Fatty acid oxidation,TRUE,
ACADM,Fatty acid oxidation,TRUE,
ACADS,Fatty acid oxidation,TRUE,
ACADVL,Fatty acid oxidation,TRUE,
ACBD6,Fatty acid oxidation,TRUE,
ACBD7,Fatty acid oxidation,TRUE,
ACOT1,Fatty acid oxidation,TRUE,
ACOT11,Fatty acid oxidation,TRUE,
ACOT12,Fatty acid oxidation,TRUE,
ACOT13,Fatty acid oxidation,TRUE,
ACOT2,Fatty acid oxidation,TRUE,
ACOT4,Fatty acid oxidation,TRUE,
ACOT6,Fatty acid oxidation,TRUE,
ACOT7,Fatty acid oxidation,TRUE,
ACOT8,Fatty acid oxidation,TRUE,
ACOT9,Fatty acid oxidation,TRUE,
ACOX1,Fatty acid oxidation,TRUE,
ACSF2,Fatty acid oxidation,TRUE,
ACSL4,Fatty acid oxidation,TRUE,DW added
ACSM3,Fatty acid oxidation,TRUE,
ACSM6,Fatty acid oxidation,TRUE,
CACT,Fatty acid oxidation,TRUE,DW added
CPT1A,Fatty acid oxidation,TRUE,DW added
CPT2,Fatty acid oxidation,TRUE,DW added
DBI,Fatty acid oxidation,TRUE,
DECR1,Fatty acid oxidation,TRUE,
DECR2,Fatty acid oxidation,TRUE,
ECHS1,Fatty acid oxidation,TRUE,
ECI1,Fatty acid oxidation,TRUE,
ECI2,Fatty acid oxidation,TRUE,
EHHADH,Fatty acid oxidation,FALSE,DW excluded (Peroxisomal)
HADH,Fatty acid oxidation,TRUE,
HADHA,Fatty acid oxidation,TRUE,
HADHB,Fatty acid oxidation,TRUE,
HSD17B4,Fatty acid oxidation,TRUE,
MCAT,Fatty acid oxidation,TRUE,
MCEE,Fatty acid oxidation,TRUE,
MECR,Fatty acid oxidation,TRUE,
MLYCD,Fatty acid oxidation,TRUE,
MMAA,Fatty acid oxidation,TRUE,
MMUT,Fatty acid oxidation,TRUE,
NDUFAB1,Fatty acid oxidation,TRUE,
PCCA,Fatty acid oxidation,TRUE,
PCCB,Fatty acid oxidation,TRUE,
PCTP,Fatty acid oxidation,TRUE,
SLC25A20,Fatty acid oxidation,TRUE,DW added
THEM4,Fatty acid oxidation,TRUE,
THEM5,Fatty acid oxidation,TRUE,
AGL,Glycogen breakdown,TRUE,
CALM1,Glycogen breakdown,TRUE,
GAA,Glycogen breakdown,TRUE,
GYG1,Glycogen breakdown,TRUE,
