Compound,C_Label,Day1_Cage2_T0,Day1_Cage2_T60,Day1_Cage2_T120,Day1_Cage2_T150,Day1_Cage5_T0,Day1_Cage5_T60,Day1_Cage5_T120,Day1_Cage5_T150,Day1_Cage10_T0,Day1_Cage10_T60,Day1_Cage10_T120,Day1_Cage10_T150,Day1_Cage13_T0,Day1_Cage13_T60,Day1_Cage13_T120,Day1_Cage13_T150,Day2_Cage2_T0,Day2_Cage2_T60,Day2_Cage2_T120,Day2_Cage2_T150,Day2_Cage5_T0,Day2_Cage5_T60,Day2_Cage5_T120,Day2_Cage5_T150,Day2_Cage10_T0,Day2_Cage10_T60,Day2_Cage10_T120,Day2_Cage10_T150,Day2_Cage13_T0,Day2_Cage13_T60,Day2_Cage13_T120,Day2_Cage13_T150,Day1_Cage3_T0,Day1_Cage3_T60,Day1_Cage3_T120,Day1_Cage3_T150,Day1_Cage6_T0,Day1_Cage6_T60,Day1_Cage6_T120,Day1_Cage6_T150,Day1_Cage11_T0,Day1_Cage11_T60,Day1_Cage11_T120,Day1_Cage11_T150,Day2_Cage3_T0,Day2_Cage3_T60,Day2_Cage3_T120,Day2_Cage3_T150,Day2_Cage6_T0,Day2_Cage6_T60,Day2_Cage6_T120,Day2_Cage6_T150,Day2_Cage11_T0,Day2_Cage11_T60,Day2_Cage11_T120,Day2_Cage11_T150,Day1_Cage1_T0,Day1_Cage1_T60,Day1_Cage1_T120,Day1_Cage1_T150,Day1_Cage4_T0,Day1_Cage4_T60,Day1_Cage4_T120,Day1_Cage4_T150,Day1_Cage9_T0,Day1_Cage9_T60,Day1_Cage9_T120,Day1_Cage9_T150,Day1_Cage12_T0,Day1_Cage12_T60,Day1_Cage12_T120,Day1_Cage12_T150,Day2_Cage1_T0,Day2_Cage1_T60,Day2_Cage1_T120,Day2_Cage1_T150,Day2_Cage4_T0,Day2_Cage4_T60,Day2_Cage4_T120,Day2_Cage4_T150,Day2_Cage9_T0,Day2_Cage9_T60,Day2_Cage9_T120,Day2_Cage9_T150,Day2_Cage12_T0,Day2_Cage12_T60,Day2_Cage12_T120,Day2_Cage12_T150
lactate,0,0.999246306,0.890155356,0.853566732,0.841508952,0.998965501,0.863528155,0.845672715,0.832297448,0.998653913,0.882945725,0.882078949,0.834921118,0.998904937,0.889722429,0.875888474,0.815676613,0.998551546,0.586838096,0.446895662,0.434088242,0.99431858,0.512894746,0.385212119,0.321856514,0.996893322,0.490453777,0.40836755,0.417675165,0.997699168,0.417690917,0.411953279,0.302107231,0.998841147,0.995179524,0.99308113,0.991692158,0.998209096,0.993721397,0.992760735,0.991175383,0.999041571,0.9965941,0.99291036,0.992244216,0.998941574,0.904329208,0.842076322,0.801946424,0.99865419,0.90038392,0.841646452,0.812809463,0.998383393,0.97082203,0.833850245,0.770602213,0.997296665,0.940256382,0.900178185,0.882900002,0.998178855,0.942713327,0.894421509,0.870518445,0.998186211,0.918899097,0.861939218,0.850830076,0.998467672,0.940953537,0.895981433,0.881327765,0.997141847,0.50575753,0.31435629,0.299542535,0.990515635,0.613133643,0.326462583,0.284170128,0.996053652,0.470464166,0.381526652,0.310280729,0.99785095,0.476906438,0.312100911,0.354384351
lactate,1,0.000599395,0.010870334,0.015011109,0.018995371,0.000934991,0.011356096,0.018217747,0.022110747,0.001127006,0.011013506,0.015230737,0.019888687,0.00045789,0.009777282,0.015596455,0.022164491,0.001109008,0.039091676,0.050213439,0.05341104,0.002167244,0.032811974,0.051456223,0.058624704,0.002270242,0.039159511,0.056057453,0.07506263,0.001864503,0.043167063,0.059390668,0.071952041,0.001082046,0.004113633,0.005553555,0.006990291,0.001736574,0.003666034,0.005925394,0.006747985,0.000906049,0.002611456,0.006006898,0.006254135,0.000988977,0.05468028,0.090389808,0.116597528,0.001150399,0.057406973,0.094498283,0.11292662,0.001413889,0.016515686,0.092960964,0.128960059,0.002639407,0.00905289,0.017121343,0.019717393,0.00173031,0.008970895,0.018357478,0.024745731,0.001419702,0.010319535,0.024153037,0.027929321,0.001441466,0.007644782,0.01712516,0.022696077,0.001811294,0.039651301,0.047120285,0.048181696,0.003205798,0.051947671,0.060736759,0.06787167,0.001971047,0.042021487,0.056418944,0.064261123,0.001256143,0.036723678,0.055294081,0.054980937
lactate,2,7.12E-05,0.008176272,0.011872891,0.01506909,9.95E-05,0.008731203,0.01469681,0.015941375,0.000110815,0.008411395,0.010465698,0.0138056,3.00E-05,0.008574713,0.013181601,0.016262647,0.000240265,0.032544679,0.039300686,0.044629083,0.00119198,0.029985381,0.043793003,0.050152229,0.000205444,0.032405497,0.045210997,0.06200897,0.00034552,0.038751379,0.051497793,0.065079891,0,0.000655661,0.00124296,0.00109587,4.55415E-05,0.000701376,0.001313872,0.001458959,5.23806E-05,0.000794444,0.00101607,0.001417198,6.94485E-05,0.030833767,0.048905281,0.058908282,0.000122396,0.03119098,0.046016796,0.055002324,9.37752E-05,0.009170998,0.051430365,0.070441311,4.46786E-05,0.004888197,0.010873223,0.012857426,9.08355E-05,0.005185774,0.011690028,0.014820999,9.47835E-05,0.007724776,0.015285773,0.017907205,2.00201E-05,0.005086415,0.011830344,0.014004396,0.000233751,0.038008711,0.049882071,0.053688102,0.00144162,0.039369032,0.060286141,0.073103344,0.00029002,0.041134018,0.054095241,0.061687306,0.000332455,0.036884114,0.054897196,0.050695434
lactate,3,8.31E-05,0.090798038,0.119549268,0.124426587,0,0.116384546,0.121412728,0.12965043,0.000108266,0.097629373,0.092224616,0.131384594,0.000607222,0.091925575,0.09533347,0.14589625,9.92E-05,0.34152555,0.463590213,0.467871635,0.002322196,0.424307899,0.519538655,0.569366552,0.000630991,0.437981215,0.490364,0.445253235,9.08E-05,0.500390641,0.47715826,0.560860837,7.68065E-05,5.11828E-05,0.000122356,0.000221681,8.78893E-06,0.001911194,0,0.000617673,0,0,6.6672E-05,8.44501E-05,0,0.010156745,0.01862859,0.022547765,7.3014E-05,0.011018126,0.017838469,0.019261594,0.000108944,0.003491286,0.021758426,0.029996417,1.92489E-05,0.045802531,0.071827249,0.08452518,0,0.043130004,0.075530985,0.089914826,0.000299303,0.063056593,0.098621972,0.103333399,7.08421E-05,0.046315266,0.075063063,0.081971762,0.000813108,0.416582458,0.588641354,0.598587667,0.004836947,0.295549655,0.552514518,0.574854858,0.00168528,0.446380328,0.507959162,0.563770841,0.000560453,0.44948577,0.577707812,0.539939278
Glucose,0,0.998108133,0.931902316,0.889912603,0.877503418,0.998166733,0.904832596,0.855224777,0.856267029,0.999233089,0.917221776,0.904794169,0.877061492,0.998426764,0.891612978,0.868732418,0.848421863,0.997074102,0.740644487,0.667993211,0.532686471,0.995784662,0.595960804,0.476827913,0.449655232,0.997025847,0.646696135,0.491886529,0.43064995,0.998471003,0.533658322,0.495300155,0.422853703,0.99840523,0.988902289,0.982127092,0.983805546,0.99928923,0.987506412,0.981142851,0.981364246,0.995130303,0.986866431,0.983234417,0.979204021,0.998259059,0.853538665,0.73007123,0.705744356,0.9972611,0.82503386,0.727317803,0.705660281,0.996497827,0.871273379,0.709318485,0.630226754,0.999158436,0.854376125,0.804134237,0.802572113,0.997801144,0.875859779,0.807658191,0.75593581,0.997239507,0.773061296,0.720480104,0.711127125,0.997381496,0.843833272,0.791114661,0.783773257,0.996503092,0.168313789,0.073338914,0.133018877,0.996838186,0.318470085,0.074748001,0.096218239,0.99803285,0.11371537,0.154036888,0.129862252,0.997558401,0.107876567,0.089276311,0.160448756
Glucose,1,0.001891867,0.025038781,0.041193724,0.045517155,0.001833267,0.031906101,0.051903912,0.055394506,0.000766911,0.029801873,0.038354317,0.048232923,0.001573236,0.035347953,0.045729034,0.056888505,0.002693391,0.073870762,0.095861991,0.118129806,0.003369682,0.093336116,0.124111257,0.129725202,0.002899878,0.089771371,0.124990029,0.134739001,0.000968132,0.107409272,0.121488467,0.132799513,0.00159477,0.009117313,0.015365149,0.013583128,0.00071077,0.010575322,0.016215849,0.016116834,0.004869697,0.011323769,0.01431849,0.018015508,0.001697267,0.082006219,0.147730422,0.167005232,0.0027389,0.096821481,0.151724529,0.165530751,0.003502173,0.065239916,0.148030328,0.18153312,0.000841564,0.01109437,0.022047861,0.025150901,0.002198856,0.01299406,0.025796456,0.034170377,0.002760493,0.015823446,0.030755693,0.038487803,0.002618504,0.013437547,0.025359073,0.02942288,0.002767588,0.013033872,0.009926126,0.013072432,0.002108292,0.029677827,0.013292097,0.013613057,0.001264996,0.009638214,0.015452733,0.014149058,0.001906833,0.00966163,0.011093189,0.015011404
Glucose,2,0,0.024609703,0.039511997,0.043840472,0,0.034849898,0.051371992,0.049795125,0,0.029804251,0.032520809,0.042442994,0,0.04095041,0.046810134,0.052794128,0,0.080468328,0.098017745,0.134883291,0.000298783,0.119974352,0.150118437,0.153259792,0,0.108283991,0.148608801,0.162125998,8.48E-07,0.136844467,0.143820099,0.158834008,0,0.001922819,0.002402866,0.002611326,0,0.001751008,0.002466314,0.00251892,0,0.001644983,0.002314081,0.002406326,0,0.041442254,0.078243613,0.082807412,0,0.049769947,0.076881388,0.085829905,0,0.038077896,0.086255891,0.108362467,0,0.007816681,0.016092258,0.017769814,0,0.00757434,0.01667165,0.021013371,0,0.011307828,0.022824081,0.024051297,0,0.008917414,0.017151607,0.019243879,0,0.014034643,0.011369369,0.015233673,0.000359418,0.027871003,0.013216463,0.017203311,0,0.010283523,0.017029534,0.014773299,0.000110417,0.009666167,0.012725958,0.01591218
Glucose,3,0,0.017547728,0.026376632,0.030249541,0,0.025911522,0.036871557,0.034798093,0,0.021420703,0.022580987,0.028858552,0,0.028809441,0.03477629,0.037158766,0.000149772,0.073744805,0.093503874,0.132259234,0.000251631,0.117206338,0.148790319,0.157746426,2.07E-05,0.101927448,0.142627945,0.159852098,0.000359685,0.135661934,0.144443843,0.164401221,0,5.75796E-05,0.000104892,0,0,0.000167258,0.000174986,0,0,0.000164817,5.85764E-05,0.000374145,4.36742E-05,0.016143045,0.031758946,0.032177265,0,0.019646302,0.03243734,0.031358186,0,0.016930559,0.038792288,0.053152627,0,0.010103826,0.018529656,0.018655175,0,0.009122288,0.018007563,0.022743824,0,0.014687727,0.023396661,0.028309195,0,0.012307545,0.021195907,0.021985333,0.000336837,0.030817991,0.026577167,0.031952581,0.000477038,0.051298991,0.027238022,0.031826196,0.000293306,0.022621686,0.032587041,0.026942031,0.000275572,0.024591663,0.032490567,0.032180548
Glucose,4,0,0.000338501,0.001594883,0.001419045,0,0.001305798,0.002571429,0.002194355,0,0.00105979,0.001024827,0.001848125,0,0.001583389,0.002095399,0.002525303,0,0.016295089,0.024042787,0.04207108,0,0.037796781,0.050961338,0.055644265,0,0.027142733,0.047231854,0.056980736,0,0.041644636,0.047951748,0.060799834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004720767,0.008720104,0.008295969,0,0.005690439,0.008242574,0.008599047,0,0.005397847,0.012142173,0.01860901,0,0.00092635,0.001767984,0.001420411,0,0.000917652,0.002132599,0.002895647,0,0.001476129,0.002700502,0.003332596,0,0.00117223,0.002127865,0.002596034,0,0.009307511,0.011029698,0.011874515,0,0.014877445,0.010441895,0.013737479,0,0.007872322,0.010482923,0.01074122,0,0.008609033,0.013324672,0.01223496
Glucose,5,0,0.000315551,0.000883869,0.001134056,0,0.000865282,0.001375996,0.001312827,0,0.000472935,0.000474745,0.001136688,0,0.001287302,0.001290361,0.001583391,4.97E-05,0.011198545,0.014298429,0.027509738,0,0.025047605,0.034490774,0.037711334,0,0.019211929,0.03175268,0.038973694,0,0.032581438,0.032491953,0.04188601,0,0,0,0,0,0,0,0,0,0,7.44363E-05,0,0,0.001687381,0.002927702,0.002929611,0,0.002401834,0.002765967,0.002507098,0,0.002497474,0.00442506,0.006522625,0,0.001995362,0.002157651,0.003350935,0,0.00142352,0.002276429,0.004145769,0,0.003352702,0.00354629,0.00440063,0,0.00256363,0.002046566,0.002357178,0,0.017774487,0.021145686,0.018749279,0,0.01856439,0.020184817,0.02296109,0,0.019805872,0.019291386,0.020216632,0,0.020038789,0.023293905,0.023256565
