,pathway,gene_name,SNPS,PUBMEDID,STUDY,FIRST AUTHOR,DATE,P-VALUE,SAMPLE_SIZE,MAPPED_TRAIT
0,Glucose catabolism,ENO3,rs366577,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,4e-08,1407282.0,Type 2 diabetes
1,Glucose catabolism,HK1,rs17476364,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-11,2535601.0,Type 2 diabetes
2,Glucose catabolism,HK1,rs17476364,39024449,Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program.,Verma A,2024-07-19,2e-12,612947.0,Type 2 diabetes
3,Glucose catabolism,HK1,rs17476364,39379762,"Rare variant analyses in 51,256 type 2 diabetes cases and 370,487 controls reveal the pathogenicity spectrum of monogenic diabetes genes.",Huerta-Chagoya A,2024-10-08,2e-20,421743.0,Type 2 diabetes
4,Glycogen breakdown,PGM1,rs11576729,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,3e-15,492192.0,Type 2 diabetes
5,Glycogen breakdown,PGM1,rs2269245,32499647,"Identification of type 2 diabetes loci in 433,540 East Asian individuals.",Spracklen CN,2020-05-06,5e-10,433540.0,Type 2 diabetes
6,Glycogen breakdown,PGM1,rs2269247,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,3e-13,1407282.0,Type 2 diabetes
7,Glycogen breakdown,PGM1,rs2269247,32541925,Discovery of 318 new risk loci for type 2 diabetes and related vascular outcomes among 1.4 million participants in a multi-ancestry meta-analysis.,Vujkovic M,2020-06-15,6e-09,1114458.0,Type 2 diabetes
8,Glycogen breakdown,PGM1,rs2269247,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,1.0000000000000001e-23,2535601.0,Type 2 diabetes
9,Insulin receptor signaling,GAB2,rs11237460,34594039,A cross-population atlas of genetic associations for 220 human phenotypes.,Sakaue S,2021-09-30,4e-08,667504.0,Type 2 diabetes
10,Insulin receptor signaling,GRB10,rs13236710,35551307,Multi-ancestry genetic study of type 2 diabetes highlights the power of diverse populations for discovery and translation.,Mahajan A,2022-05-12,1e-10,492192.0,Type 2 diabetes
11,Insulin receptor signaling,GRB10,rs2237442,38374256,Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.,Suzuki K,2024-02-19,2e-11,2535601.0,Type 2 diabetes
